"sigma_kappa[1]","sigma_kappa[2]","sigma_kappa[3]","sigma_kappa[4]"
1.41996515670232,1.44981510216183,2.21104654349846,1.74442249516304
1.76165686847086,1.6431700277509,1.18587458600778,1.26551343472161
1.73019308339879,1.5090105411018,1.09177342203191,1.44713534944014
1.68486979592184,1.29790957795295,1.78749275434096,2.34929106162098
1.3015061036198,1.31110349630126,1.44347243458327,1.79011058883025
2.48102903128021,2.1734014066766,1.95582738010585,1.65205145223508
1.37813318920005,1.30444895462589,1.27938981879396,1.15116421755184
1.65492367031962,1.54477404795205,1.68300393445689,1.23354830803116
1.35934794376672,1.50548838474376,1.35036919493091,1.44790251919135
1.11868245149004,1.3701220888731,1.29503542068034,2.0328759803396
1.35505953987523,1.11614639722489,0.976911094414797,1.7647519469613
0.955477942109438,1.66190317263288,1.59776348294642,1.17009284501995
1.29446414106936,1.65252642567484,1.53888770797624,1.1959313386592
2.09610084930626,2.29500841783371,1.6241030725321,1.71062882796922
1.61292138573308,1.76568725667929,1.83067559751881,1.64502147700074
2.56054284003117,1.78462957837932,1.3603140003139,1.6565663180035
1.60275956085459,1.60477245218998,1.45244300814508,1.91384767221806
1.43706030127117,1.55578892486574,1.74653128370605,1.87659598756505
2.71961053049693,1.66279756763295,2.01434569184505,1.80018597335706
1.52582470726034,1.70758866099411,1.27476935679069,1.2812920770776
1.2948563120276,2.06686137786048,1.15864968166791,1.45460893393045
1.01655618492401,1.631145871283,1.71545435515154,1.71748983452295
1.25041981841482,1.4558919549625,1.48450902853331,1.33963228716475
1.87175395672254,2.16923877880471,1.48234778095222,2.05003307799074
1.77727025551546,1.80390309112191,2.02851126039271,1.91768933605434
2.19279550222694,1.31703189694096,1.6396961332356,1.75310105222899
1.3781235073168,1.50951038592253,1.61306630819346,1.43838485833713
1.17540156418209,1.87789336857668,1.54097044340919,2.45872035108019
1.75394343016246,1.56990472765112,1.34204711055889,2.59248103297404
1.56115870528571,1.36279063343154,1.64124202744646,2.15353754557304
1.82278737606472,1.45667579883071,1.47309770622311,2.31406182969988
1.37639470915404,1.05607079132544,1.17377105019989,2.38937451394028
1.29858485756795,1.35534213081828,1.74192445940324,1.94695232075734
1.52749871585347,1.23148709812451,1.60811020038506,2.42000591529481
1.48940580538797,1.32059427523716,1.46741061914452,2.06129801221798
2.04339148561492,2.23103856956232,1.77765167587027,1.60734520228465
1.90413355976486,1.28640226945142,1.34826523529511,1.53623634635955
1.54581286181391,2.20034957008273,1.6253020203087,1.20374523576294
1.31649200745868,1.99232835574439,1.43935783910208,1.62102665607983
1.05016470346379,1.68372782038147,1.44390859109371,1.67215258157711
1.01167597811865,1.66450689118649,1.17046961225907,1.69880936317324
1.1579399648756,1.56815736392474,1.38743050762963,1.91770915180112
1.28807535553219,1.64343599932354,1.58850136144029,1.60347082868494
2.01327765158725,1.94107364228906,1.077752917412,1.64051841563579
2.16274311565471,1.38194047090259,1.85074729433542,2.57542596091472
1.60561857363074,1.25102756111491,1.08855983714633,1.62813028495858
1.89805257114632,1.01960392448643,1.60400140142097,2.17166354707821
1.59206512042278,1.86116822193702,1.36049461302075,1.47182760591092
1.85965573369119,1.33162863633427,2.08201935793232,1.605738797603
2.00498816458789,1.54268076171502,1.83474474235063,1.71419198895314
1.62921931404169,0.988207161538833,2.32920070491031,1.588597000857
2.27616259867531,1.25317439349917,1.8970319619282,1.54028699809235
1.34448084712765,1.36207391714024,1.14652369091851,1.97826963707536
1.66909238955071,1.28977846417135,1.6045581929505,2.12683404439747
1.89251490414132,1.25637533602637,1.53759327741516,1.56859423919487
1.42430719349665,1.34556036703636,1.11500553781129,1.42040609901958
