"sigma_beta[1]","sigma_beta[2]","sigma_beta[3]","sigma_beta[4]"
1.87909786993133,1.54294641428194,1.79365803918374,1.2852122524144
1.22722045728279,1.45135535560171,1.21492129701171,2.44480742737668
1.37112277175975,1.30866410116099,1.81777407270435,2.10557901125459
1.61965025373852,1.58480099243432,1.56573011268107,2.58043091928818
1.61541729031752,1.33773096238625,1.41021125637313,2.22057690552622
1.69801450819683,1.66028971424292,1.30859126983876,1.86202420028145
1.31049400907714,1.36959257830243,0.964003301220358,1.51117186723836
1.73268801281111,1.23729827069934,1.09563455662795,1.55543414446277
1.76301761787643,1.27415116836352,1.09573138389071,1.54224877562841
1.69520057648139,1.19638253293875,1.25121039220665,1.81209510456136
1.57857519032261,1.01004193063928,1.31700077377702,1.88738510885564
1.44584024434511,1.38938970762121,1.73351683910729,1.81699522238355
1.13633701297562,1.55748018371226,1.88432075181962,1.53847676177495
1.50765654487851,1.36096042958448,1.62044780685955,2.70336376524275
1.68738983269984,1.57546552151516,1.49919552219484,1.34700161200954
1.17185643128365,1.5930219429695,1.25275654107682,1.59808394074378
1.0768831668281,1.96535100597067,1.15871652353812,1.54565806854656
1.37860166570408,2.18441297002262,1.53869652451619,1.89984676735148
1.48818531613485,1.58480834073487,1.63756375267749,2.12093692697669
1.20234581487418,2.32309363541441,1.84426674450076,1.78895534235399
1.20356020263799,1.67546874836275,1.98609597616666,1.81577395147963
1.32580555133166,1.51748013864331,1.8963262020996,1.93373819924027
1.56677746292663,1.04847644871067,1.11138034785677,2.07930016577356
1.66857463313222,1.09206360403438,1.69000546910599,1.53477774419953
1.50175714915082,1.59224041827668,1.30231774513782,1.49976993732492
1.75340723060865,1.03079746563014,1.29618442659122,1.92674513220786
1.33255838711688,1.38606651938435,1.13432766750914,1.28309417599785
1.34839909150402,1.17520165067315,0.878203687118228,1.60662833238951
1.38484756718431,1.314486605606,1.07712213108438,1.78601458157592
1.60896788515692,1.1999497984306,1.50943340914322,2.26591959354783
1.49012952434721,1.38913520023107,1.51359678673772,2.21597843068976
1.6706008704401,1.59243318324895,1.38434659416613,2.02560532091544
1.84011638599554,1.58070730064965,1.52439763843586,2.12840506317844
1.2042299419823,1.59317918376189,1.95990644069466,2.5124048217219
1.84391058708927,1.53301681837548,1.64114595254913,3.22253906106571
1.79774900974604,1.04749697107969,1.83889953850902,2.24021704788238
2.46318548870415,1.18229840791099,1.26544621616538,2.5211300426911
1.80035171137296,0.999049941921513,1.3874035418843,2.96066871902268
2.12193006807603,1.04472665387587,1.65632951861838,2.2612455338527
1.61022580117839,1.29357828824952,1.43980516574692,1.91134351131536
1.62955319004168,1.20406046758067,1.3885393743353,1.92583909032212
1.26667109216514,1.07820673768938,1.5001642851785,1.79012205722847
1.38204398693037,1.75043035099634,1.13154210450701,1.78217406474179
1.6842157549878,1.46252947954761,1.53904367281826,1.87340640758118
2.16515747467223,1.75274141942624,1.6342878232213,1.85520443332697
2.78265597527698,1.16260982049051,1.80577340325366,2.49787127179396
2.37821784418547,1.10846464242482,1.60503623956244,2.18125692162209
3.10683455191146,1.12356087644472,1.58137385014092,2.41856376877453
1.99846253221729,1.09720278190002,1.56934863344735,2.70468157662402
1.78419425809048,1.60376417830447,1.24164244305904,2.02785033849476
1.5439586258425,1.03822265064089,1.43678330169724,1.6387170663651
1.22468161968465,1.51452030264127,1.48644492427452,1.52923582880944
1.05545010601396,1.63610305730092,1.33077159276284,1.71111882029479
1.30337637974356,1.42886979787466,1.69226474062393,1.80808843551764
1.30173532765567,1.60638432395909,1.22040421061965,1.54525330804554
1.23615035178732,1.08003214226315,1.12341653671195,2.32130530399195
1.19672984317536,1.43547738633093,1.87328828202122,2.5538442398693
1.38708413695133,1.34537274419448,1.45850360878538,3.33881582336371
1.2397208557,1.23089631484717,1.87640339721644,3.3015635612195
1.15612675860968,1.28918299909536,1.87513549269442,2.47744181427435
1.20149052645898,1.23968656849021,1.6597880091593,2.42587638605904
1.09831498239973,1.29913623778651,1.30215976470137,1.57018835680165
1.11543456193871,1.30166959603122,1.18721643393046,3.21712654705485
1.17646134626634,1.38097109997632,1.4852609677895,3.1554929007408
1.17098908791946,1.34855566808333,1.61671281330234,1.65388593108678
1.47050722804643,2.32399413499238,2.01656482949405,2.9794526999528
1.89413936540091,1.34496093144531,2.08484857612113,2.20455047694936
1.30155892992207,2.01284430556092,1.67479269973994,3.4959811697148
1.28483213164028,1.50016683500041,1.2849301151551,1.62000168038406
1.2333794130926,1.5804952591434,1.83971721236621,1.94814206512523
1.85169936402901,1.69375105125499,1.56294208984861,1.6240832728198
1.47647880077769,1.91870682642224,1.38561238109567,2.53943059348159
1.7331869483755,1.79679658943893,0.932025426339667,1.17152175786453
1.38891806630833,2.40418377353187,0.927190575803779,1.05441878551827
1.14256219469849,1.42282433117757,0.874658988997669,1.21513178284621
1.00137058454943,1.57464345842002,1.20406310626659,1.18965720751846
1.57523539720417,0.995866770097794,1.50206852012664,1.51059313666033
1.40214984749764,1.16782438631662,1.05133388567954,1.80381007802301
1.54398783491714,1.6815962276663,1.8457153646901,1.18773861778637
1.51415672476976,1.49391236852947,0.954708549514195,1.14485149909932
1.63601377907711,1.19003051075411,1.21094641395415,1.10819355458008
2.0263623323672,1.16884624939439,1.32142271966668,1.33315493619988
1.77738370379871,1.00165912109488,1.46583603845591,2.86764576734036
1.92323253463925,1.01075149776897,1.42898954835902,3.13809371424986
1.63756432723068,0.917820258323092,1.695282892154,2.294578675328
1.9897759170296,1.0637420251565,1.72050537826764,1.9583789818908
1.57868118901899,1.31887746575638,1.59043995266317,2.2666561788158
2.58793531030745,1.08331875809393,1.5466164702297,1.64557342295719
1.29044648574382,1.17588377504254,1.09325537270222,1.53669183013084
1.42318100178633,1.33461177982381,2.02986165123364,2.2291861076107
1.42864636472005,1.36203137317584,2.14998541672934,1.63849745920746
1.63354740967619,1.3581842105558,1.62374299224792,1.81353615173192
1.54351630417559,1.19331905139442,1.45154713010962,2.16570715721104
1.9642122820168,1.48754756437123,1.74809479686058,1.40111892494107
1.49929787621167,1.11529414424769,1.23286626510163,1.43429009433306
2.09569233524637,1.63376078426215,1.66593416350694,1.38516502392977
1.53047428924071,1.5936247941243,1.27167096751584,1.69462363162611
2.01779149988961,1.25153226452553,1.53157320027691,1.44172589989603
1.56684794388794,1.32259555338307,1.32161092892525,1.38747319634784
1.71913976709562,1.08686406635435,1.43074604701584,2.82179109931934
1.63738162493202,1.04410277952656,1.36957977643135,2.50146507966254
1.79958092297166,1.29384397787818,1.91513272351908,1.52446043459766
1.88482755263396,1.37803024278401,1.46943012585483,1.64989600493401
2.12569509395791,1.15676841167484,1.18821768758863,1.38684412526428
1.71392087941947,1.1699386008901,1.56806380218067,1.70658148588747
1.96589345932148,1.31612870019005,1.71814580836495,1.67126807815389
2.16706534294743,1.63583877736952,1.26157726398226,1.58175695493776
1.92266919722592,1.48581806998558,1.72386967697589,1.50818741316854
1.34771675908583,1.08866766244244,1.64429545863514,2.5851749326806
2.00180721762924,1.30568015890881,1.68144630577434,2.16323654561268
1.6629075948099,1.20415002473743,1.54545787984197,1.89195504576416
1.20934891397656,1.31037246884382,2.10449308306702,1.8145667144042
1.50395816019246,1.17385323905467,1.70963469956975,2.41552622294813
2.3608998115819,1.08732100859772,1.18287998665436,2.32368036270365
2.42983617125073,0.960938687614803,1.85396584290529,2.05176824279615
1.96586074168716,1.04461480210916,1.00185914788378,2.4991133717074
2.0676730286201,1.17852502066325,0.912595601104552,2.24202821711362
1.75128685183238,1.30972108231282,1.404285164788,2.0654415651817
1.87297751765003,1.63124222600569,1.04493374215232,1.84239102598537
2.23255967838443,1.5960035058851,1.49532908630849,1.87225815221429
1.8306294536269,1.57917143844908,1.62673075716301,1.96683667348567
2.14775077671504,1.27868928608942,1.42094394727557,2.10267227061049
2.12143208917927,1.53726844802069,1.7798318570114,2.59612331920995
2.15362277237046,1.73531565444549,1.68582587648647,1.57521994617489
2.3672246170097,1.40214602109232,1.74807309822806,1.31009332918733
1.57151286843293,1.42771726583785,1.66691706901382,1.64854056957211
1.67675681244483,1.35203082934875,1.63237398713882,1.55277774744766
1.58580979005389,1.13250886155503,1.32591596202628,1.81509160934384
1.26601262076638,1.7764571613237,1.46873184195732,1.40945478986875
1.50755931045594,1.75168629404565,1.08832628074789,1.73687928883703
1.5343033816807,1.33197265672466,1.11241258277563,1.14448019547917
1.93344729073361,1.05003246624544,1.07477496632368,2.77352233934126
1.26211593059544,1.06088124677705,1.84561483242708,1.82524155512707
1.58652127731794,1.21490087034856,1.71123996282397,2.16407441026146
1.43315436518717,1.21493855088038,1.19605171357629,2.06642533696447
1.20796309959769,1.16194542025345,1.40368420232267,1.99159412723244
