"beta_out[1]","beta_out[2]","beta_out[3]","beta_out[4]"
0.196000057537,0.187731223461241,0.101536104257567,0.119195914917955
0.208605437136278,0.179677320815934,0.103508509044094,0.143749963397499
0.202816383915192,0.16785456459312,0.116427337900806,0.144397846700939
0.193962572027104,0.189766672249786,0.10519327180252,0.124247758429348
0.167822218717678,0.177743912519325,0.0873173687084007,0.148328315675736
0.183989266779615,0.174959058366016,0.0968898137226312,0.130169227232237
0.20833430062133,0.160167996899874,0.0919768949875647,0.143454983966645
0.222622600975338,0.166989028714435,0.0928008365196157,0.138887499131407
0.161199384676085,0.194679639177524,0.0942436322196896,0.129554979584242
0.205273620498646,0.180923967665168,0.093962842876115,0.115042401999786
0.19670996877706,0.195919450974016,0.076126403100523,0.121414614887959
0.167650702650707,0.150013178026634,0.119741890105511,0.138227240721002
0.191001371354129,0.178447062982933,0.0981211340505137,0.143246694865441
0.171396021451032,0.146769981523481,0.108059469185444,0.119330338933678
0.167322448895169,0.186655926825755,0.0935913998000402,0.144647072060335
0.217449698620589,0.15346864011841,0.128461651255368,0.125466504434901
0.219677286293161,0.145103829600917,0.103581662327509,0.1317203071182
0.207364008423133,0.173346551978436,0.103859961547218,0.121299420804453
0.218154478672368,0.183792197554215,0.104410695680015,0.117605968516416
0.192730620298818,0.188873431233991,0.0736796121900047,0.129740740820076
0.188185023256049,0.171219711058548,0.085295644773831,0.140053510052344
0.162799461442106,0.188002954080538,0.0949276838645801,0.122891034086925
0.209154030161613,0.171125290756565,0.102430576926047,0.141883402901035
0.212106365274488,0.16402784860976,0.100540125083997,0.138701456065571
0.188016588355173,0.170868092439291,0.0902791664679155,0.118448999867791
0.214728048981188,0.208462288791626,0.0977465839951949,0.134865974327161
0.143897215858562,0.170120577878123,0.0861309343369028,0.148401790590966
0.149576597450605,0.15504921370543,0.0934478706610521,0.132573994678751
0.172304181035702,0.157804067320368,0.0936835603199954,0.137611811380356
0.202092987381141,0.174062681407882,0.0891015759759179,0.124128543933689
0.194627056245555,0.177597434556746,0.0922962177067911,0.127575965826483
0.182343509998328,0.157249327940755,0.0864276114375213,0.128908353396981
0.178808141108493,0.168015414014119,0.0846057408336572,0.131029540174802
0.201732419987503,0.169526111115702,0.099861170813681,0.141345190205268
0.173919098146841,0.178655572493615,0.105216368026466,0.120851228467042
0.151835621254828,0.185901536264485,0.0959947678110655,0.132771709311252
0.170784891273869,0.178217639659005,0.0926730402787596,0.142459693930338
0.171446144117652,0.199663353020099,0.0963757909993837,0.154957818088142
0.193157587801899,0.164788448023371,0.0900598465993578,0.11327117912669
0.164466324851958,0.20716436493063,0.0777344266344019,0.147911485973962
0.232545873580093,0.16614198983568,0.114690583868161,0.13144540600471
0.23427742108275,0.163976603640207,0.0984153175265223,0.116986359574592
