"sigma_kappa[1]","sigma_kappa[2]","sigma_kappa[3]","sigma_kappa[4]"
1.37798901274251,1.00738267600011,2.39018355619638,0.927753773699776
1.5386010661161,0.8451615072644,2.31958675092417,1.21512915944551
1.52175436169059,1.09454322893755,1.80991601951977,1.34656819839412
1.51726337468871,0.950280046402763,1.65041809602186,0.989199298956771
1.36867618707926,0.903135426109805,1.73900592089191,0.976884671380152
2.45382778044984,1.56686812147642,1.98536235145525,1.15981252952665
2.09362873439034,1.44719543021069,2.33327031210748,0.850543817418919
1.55105066625425,0.979368658763035,1.90868032951887,0.835253830964461
1.8251800659443,1.37571930809601,3.0117627006022,1.05188018528085
2.04047681354707,1.30636923274367,3.16494206962665,1.00496989278486
1.76653126993788,0.993987898245742,2.50726049683331,1.07227021535267
1.672305137378,1.06513566190375,2.21647464958279,1.1737283795048
2.59648392492383,1.43040621446988,2.21598653939614,0.908635887908538
2.16558251423987,1.40070792800827,2.95441378796684,0.962214813996344
1.68291637824585,1.2543334233953,2.22397078273785,1.92930488592576
1.68961427964624,1.32844861355618,2.46226147743855,0.783603430317643
1.3760040394115,1.48051029406539,2.13238931819592,0.874652342946351
1.38960420664063,1.41613640967062,2.17387223404723,0.736685990045093
1.4373059633323,1.5329089286741,3.02910658281326,1.3236307672997
1.44740824592306,1.75826895935352,3.71038740135538,1.50927376454104
1.43404977797008,1.14892704670512,2.98647530972121,0.839531249331867
1.31248612868156,1.06851599782914,3.00574574759097,0.8396149663643
1.99336578660663,1.14649323158011,2.96025447625745,0.932222333200304
2.11404441789645,1.04903690547325,2.66035987021899,1.54596917233711
1.41744999354406,1.00550940148385,2.40576166301621,0.635178712173716
1.41823469578646,1.12382822896679,2.32323808796567,0.665041729744441
1.27123902146451,0.8931966022581,3.07232752715677,1.06872187023278
1.09186076773032,0.873054399988722,4.23451760208758,0.838157443836375
1.47484452411698,0.879590973044587,4.53116737349166,0.755568886337512
1.53962533848202,0.864983950068554,4.25236660970703,1.01343070318085
1.52061085811402,1.20678643815802,2.7058413400445,1.30263508070443
1.702821941867,1.22553958526226,1.61787473611368,1.05970859152145
1.80347241714192,1.24572110894748,1.5169363624613,1.1280804260587
1.62977301537786,1.17902597025928,1.42238656345731,0.900497464906923
1.44572283289615,1.10807493313862,1.73551547310302,1.42752717347855
1.45315237462299,0.979175128739626,1.80937563760647,1.26202010417361
1.58354361162612,1.02343048693677,1.71923286886827,1.10142053930479
1.44745326065128,1.2876282225801,2.08091363305676,1.26741770175073
1.87870842220557,1.17823357930724,2.34279955266307,1.20591922946702
1.83163489796099,0.987497284332115,2.2364555469152,0.926576069732406
1.71612855758249,1.3551767324261,2.24115924467489,0.921480326124209
1.46556719888517,1.00572243450559,2.07511761713383,0.835680694029932
1.85860399070219,1.10797636566803,2.20959022778457,0.886605239213664
1.59442995627292,1.02600229751839,1.95943324790651,1.00009941477343
1.33381001187837,1.03683912360078,1.92801160388707,0.967255832885707
1.58059240042366,1.08554574036821,2.83747299864555,1.16397872102219
1.46438007227156,1.11071896133278,2.78539668203814,1.12195878377196
1.78741459516602,1.05009616211342,2.23335430447722,0.938831106748667
1.72242303599302,0.975625595332892,1.63561834217477,0.760956264530729
2.04713297447203,0.999719125534441,2.30308532094986,0.926451793771894
1.77146685783997,1.07236623913347,2.41769279193817,0.807996574801267
1.47713441854252,1.070383201254,2.66496093886177,0.7613248552553
1.52121083259393,0.809822279484094,2.37831645515126,1.1321117822183
2.30447471738865,0.863008788822427,2.27343340787248,0.828870631164782
1.79300681125543,0.902111384400734,1.61144141115715,1.0329685877187
1.68378026461311,0.802834017268374,1.7657417525946,0.728612069037523
1.75022588728048,0.768878229132716,1.91707291567294,0.853722641360786
1.46904481418986,0.836625470847494,1.90720085095518,0.651838907649327
1.10482965669856,1.22830145313864,5.2010293444858,0.915589561758869
1.30049571560856,1.30233092384437,2.71707754946289,0.873267981766084
1.4508648011073,0.990582019004918,4.07147287458928,1.22381162943575
1.46220891702399,0.982291630264528,3.87907658151809,1.22368796971851
1.88534855038434,1.06930663964394,3.0103186230925,0.803444865867777
1.72792961398867,1.14703866808962,2.536400380122,1.22574003630561
1.39451860764963,1.14046875420591,2.34815425064704,1.07164059085305
1.68253539148231,1.3166953674272,2.00452308082761,1.03488206162823
1.65784756302554,1.37418369865301,1.93011053537711,0.891657171856648
1.7668834209741,1.2812568992618,1.72368554769473,0.842541096161487
2.20294061430963,1.05922045971429,1.88492431869029,0.720263175791077
1.51014843072709,1.32347252351649,2.35068169485215,0.80571847597586
1.66068513409265,0.917159152435139,2.71540039592951,0.812049738253109
1.55964609887127,0.994218183072621,2.01101642226819,0.748426077952653
1.42824443126663,1.02157286845004,2.75311128002692,0.787524095661497
1.35813677919925,0.872785075196609,3.33351582049954,1.13654257309559
1.68754432285154,0.780779631052754,3.56881632585411,0.989459190040811
1.47653126560115,0.854032679440425,4.81754206961647,0.821324560525237
1.39034552496882,0.944674560056629,4.14375287711256,0.870673227517445
1.59567996241497,0.86721822064633,3.24983449808391,0.866197666901094
1.56684172224,0.947595351905669,2.95859644879174,0.864371940512303
1.84946511030692,1.78454208065499,2.18303513421083,1.39026927225419
1.99886080791287,1.37217425815656,2.70056972714361,0.983907383880397
1.5741583269811,1.38250703622816,2.53846626171027,0.847610579538379
1.61145629201176,1.13383614708212,2.480235897769,0.855134440668502
1.85636367045478,1.68162889832185,3.15146377555417,1.09130104314401
1.51049288720142,1.22902149700475,2.8636009768641,1.72685135550689
1.34301779286547,1.14309394525229,2.93745577093519,1.00829808050997
1.43126100272931,1.28767815318742,3.01055223026538,1.35231170059851
1.6140063579426,1.17644996076706,3.04748941248085,1.46220071003522
1.18342747293145,0.934484381143122,2.94873947650014,1.17201220678102
1.22412797329309,1.0182341078147,3.08295125903921,1.06238118374715
1.48266894289642,1.20615158488227,2.79595610237899,0.95845200487768
1.49577544033653,1.06731570663397,3.74405940743558,0.967670264159013
1.37129634161263,1.13539569197973,2.35211290583615,0.94447714758927
1.75637160847141,1.13612252924453,2.01019958692125,0.950479997259521
1.46552610623693,0.912416152330911,2.63081600450869,1.2591479004597
1.36809353855474,0.883782904269078,3.01724078698549,0.933894988251494
1.7772986146729,1.48475149035557,2.64251697673322,0.854696707283355
1.55443911984166,1.15482550410312,2.53684051477769,0.780678887892452
1.92569575957188,1.13140091557303,3.20912499150869,0.872942265348437
1.94312322457611,1.08365266152288,2.78632659555759,0.889587785614136
2.007513493825,1.3017931025515,3.06950452869284,1.009715035556
2.68184404744727,0.979601093652254,2.83698045453528,0.939467234678405
2.06588787469157,1.31015645525894,3.30279316060765,1.05621467147728
2.19359262087074,1.28559060745035,3.29306334318294,1.28694345767618
1.93045311213038,1.33532534712317,2.76754099240053,1.04265460530673
1.66176885404959,1.06055144338442,3.21102259959103,1.1815596244808
1.90711722109834,1.23156053075101,4.33769259695108,1.38472020845709
1.67498117256406,1.92405709923486,2.26195462700707,1.35873471291241
1.73203778453183,1.49056391989602,2.20178223034598,1.30972463885764
2.39965372443156,0.723467138780365,3.16095039064053,1.01833996615695
2.35970137475273,0.706248579584247,3.17108566424684,0.969244790647147
1.90677252037978,0.796811910313889,3.52559484704653,1.33991442072124
1.30720883684243,1.85906601255749,2.19049007063948,0.955220070506258
1.15895024210679,0.776514714692012,2.06791363365945,0.921608338522941
1.21999090340371,1.00461799201737,2.14068683486975,0.99071572183866
1.84077995504124,1.26639008234668,2.31820684777042,1.09853146310598
1.72671808058255,1.22405913130805,2.6450663940504,0.934867091479753
1.38924798456059,1.4004129021035,2.31893989567675,1.18061098899819
1.68340899238855,0.980702821248724,3.25458869798567,0.875937338580127
1.73474872273895,1.06924348531906,2.35936452750023,0.698762816993165
2.16856778589352,1.08005676972809,2.03284407397956,1.08862934514581
2.02840013755448,1.03176585722928,2.11441475992985,0.696475540274688
1.84384722097297,1.11621763590696,1.9765705341724,0.834717378591915
1.83638255059149,1.26922469485809,2.75564038562933,1.58145261906201
1.49826447745762,0.957155661862424,2.77692987978755,1.06842866009175
1.25404189107367,0.962604995337781,2.51750908943577,1.44942175223339
1.40774149650574,1.35096579370803,2.50161185798948,1.23555900634199
1.41464192915139,0.919582832045569,2.02977116461878,1.31109423727959
1.45718843116398,0.867029313314619,2.84020307662596,1.05969744219144
1.60249921682704,1.132564742013,3.23574271295682,0.949444382146045
1.65077742398646,1.07121289506592,2.42217562911069,1.20526173715187
1.55899023317873,1.16295657670007,2.02296455976814,0.974165160252037
1.43398979037062,1.35755783432128,2.27195070460867,0.699403106273049
1.54245619899974,1.06788779618541,2.12395502903147,0.757577097549282
1.66308254172193,1.14390164863454,2.40037310621306,0.883671146295974
