"sigma_beta[1]","sigma_beta[2]","sigma_beta[3]","sigma_beta[4]"
1.51982649253178,1.67433940699129,2.07611076562376,2.29923154901763
1.39772546454508,1.61599619799756,1.85714187446512,1.5996886246666
1.00714688356349,1.8326660921774,1.51663340798834,1.48720051571844
1.22114152042355,1.74047013379914,2.50531380318496,1.09206446287274
1.38087545244599,1.41009165673156,3.01735503128705,1.42653922914726
1.41716298890639,1.95311937020033,2.85470703952248,1.22272390158365
0.92805529249376,2.34967030808872,2.79222240897203,1.50609133834977
1.40102213440762,1.46850080876546,3.21390148522998,1.57404115958375
1.21742580466851,1.41448178641991,2.07211490693107,1.46934068468992
1.18928787965365,1.90947159348853,4.12331187530988,1.41743493296085
1.13941786012461,1.96969565474626,2.21111943987434,1.41727176189868
1.12794666685522,1.59549698667259,3.41009236973102,1.1710049286342
1.27071344920437,1.64431110030207,2.1282575420829,1.63648305917865
1.24835223162823,2.25965878132279,2.73802408857347,1.19469762517477
1.14300643196491,2.19963212167681,2.81869105610078,1.45837101886418
1.54047448801051,1.58275865620006,2.86047613088179,1.25448697219257
0.893490210050857,1.46550466153021,2.31225340808066,1.72986050065407
1.36435873064785,1.557663067624,1.71829874704502,1.30157084409125
0.73834536678579,1.59327806408199,1.92920820278996,1.25323223986879
1.23651691693297,2.14932622811192,2.63926123161542,2.09037655697357
1.79215911838299,2.90919384101334,2.31178660609603,1.38944605134799
1.47676323131946,2.99659658804422,2.56856602155107,0.916919559192519
1.30004321049291,2.0917125315379,1.89340488596029,1.02924158597661
2.84910670158875,2.37175864175688,1.79807421477432,1.3302584759798
1.73136706782274,1.80610376605271,1.63019466909615,1.02471668562705
0.952763545728344,1.49453258865691,2.21103814280816,0.835608187122546
0.977670638694908,1.5401701608952,1.80230900978396,0.820946309554673
1.08169006328472,1.97347245184855,1.79308810070444,1.4972940927239
1.46909652609535,1.47614632164943,1.57792848598299,1.21816419109697
1.24597117211709,1.67618639725693,2.0642753612451,1.70730810894168
1.22260207953292,1.6569308565369,3.38536828753372,0.972711380257189
1.17785355842327,1.42364289748945,2.79414059051032,0.900886762210834
