"","beta_out[1]","beta_out[2]","beta_out[3]","beta_out[4]"
"211",0.708788944484669,0.450865402746374,0.164485019548291,0.255160179062128
"212",0.74347917564196,0.538896089541452,0.184750640103787,0.246847544604402
"213",0.711339280150763,0.627453055165309,0.133355370075073,0.310508373888827
"214",0.796253827980583,0.544914140818876,0.14300247747271,0.259736504818879
"215",0.84504440248794,0.577142698246961,0.149381203993845,0.275840133129479
"216",0.875214805239779,0.567672342050087,0.169782086499473,0.286311931124861
"217",0.712590781349644,0.587245396599698,0.156584088326686,0.190204939160759
"218",0.904397533072224,0.516065616709021,0.159635390448475,0.370521906692511
"219",0.670024839253458,0.573033541008063,0.143346094331859,0.258245844329049
"220",0.874328096860154,0.537827333687379,0.15346791429173,0.256056066443057
"221",0.881090660688315,0.650098395702937,0.112744057817228,0.250145305905462
"222",0.833369534433709,0.713984913462456,0.127494521162346,0.254468864245243
"223",0.612746075921499,0.522446398778294,0.160299412087834,0.296232237777933
"224",0.610171212473161,0.499274141012685,0.164639493322713,0.325045801735112
"225",0.952002130846919,0.517485826902854,0.137662976375981,0.25744279823482
"226",0.750610868685628,0.523731875106584,0.217125668547477,0.212092358505096
"227",0.647813793272135,0.505999543919253,0.157082265989659,0.28635841254912
"228",0.650648883190908,0.492308092532539,0.193769248078197,0.258180770778717
"229",0.662728939608147,0.515809603312062,0.234241903182072,0.238603949783643
"230",0.727483412509796,0.501750664058923,0.191245222789729,0.319226400812989
"231",0.694592083212763,0.617962724465347,0.191795952423432,0.225841102419297
"232",0.839137693417481,0.520219006819158,0.234728553998329,0.315077492624657
"233",0.702496694138689,0.565893205816109,0.169492538723011,0.268105346100894
"234",0.838019858931168,0.611936412662256,0.151607230578056,0.340376045642863
"235",0.671031208653972,0.673674837352424,0.161441485790087,0.220622867278716
"236",0.599564067336023,0.358478424617049,0.1465747008531,0.269521892928341
"237",0.636638085842251,0.351634982723293,0.135072578537826,0.250585948650603
"238",0.549022190435147,0.467846799484164,0.117312814450664,0.218427359671139
"239",0.668668890183427,0.456500608544338,0.176986473399881,0.218891113939626
"240",0.712397623305431,0.477111995690929,0.156788499754103,0.236005114283989
"241",0.620284236561184,0.528410585766581,0.12815741499005,0.274453518315901
"242",0.731603729613472,0.465450261072618,0.115639465473638,0.25564310356338
"243",0.61988670106828,0.595807773828448,0.177511887568655,0.279701344163296
"244",0.642885772638876,0.629822037189586,0.158699301708117,0.271521032643326
"245",0.65371126699936,0.559839171721495,0.208628756381522,0.27755480828248
"246",0.650220972640333,0.554494914090382,0.159564643019973,0.272635959928157
"247",0.908251623065039,0.607332726407031,0.154138832019125,0.292538856580036
"248",0.788050687758963,0.595437974538982,0.143610762284415,0.304519778454779
"249",0.933398841808341,0.495199432526531,0.15768449893675,0.261821433844518
"250",0.692884329555165,0.600981262994055,0.142642391424967,0.264581947322851
"251",0.617854221318265,0.6230864723515,0.169527265561572,0.271954805238948
"252",0.7231483752704,0.52652713992346,0.0942197973608371,0.291605198740659
"253",0.736067528149161,0.569266046618199,0.217938447301229,0.216752755499497
"254",0.565510468572749,0.435906830787254,0.115370708119876,0.286521431952148
"255",0.737993946895689,0.438310953296302,0.158837368061043,0.215213746095575
"256",0.486454037501146,0.453011558114787,0.111587981716217,0.172541808710413
"257",0.554993454191742,0.427276810390855,0.183868158794514,0.156443509228535
"258",0.637901017575413,0.422078567673651,0.0865831409108542,0.276231550588899
"259",0.610832134329268,0.531421104324174,0.180059176627283,0.177534549009303
"260",0.784069097366099,0.524219073530843,0.137098004038689,0.243244423818922
"261",0.681922511428738,0.534273423364423,0.144826972251825,0.244995939294241
"262",0.763116591204794,0.635263131174066,0.127775316416941,0.267376220324143
"263",0.878603222931458,0.51145824074029,0.178181738921726,0.293495168207726
"264",0.742082525622606,0.524113948849244,0.215098312104031,0.301330372863726
"265",0.709273123075113,0.460926061772528,0.128343014297825,0.249718097321931
"266",0.760699856855855,0.566279178907469,0.126366778198731,0.280704080415618
"267",0.689197013782284,0.56576013395917,0.211571106182275,0.195051673044135
"268",0.7636053428686,0.524836276914826,0.112678318075124,0.265761782319032
"269",0.705957817607548,0.56017731878864,0.154827881456533,0.393703275284087
"270",0.906473754139507,0.493963751005169,0.124867392584786,0.232344604607177
"271",0.588506645984887,0.630040917878358,0.213413251788765,0.27495352648548
"272",0.838657698314682,0.673952096184008,0.162697399200749,0.251279726256792
"273",0.657362630062372,0.529819397924212,0.1126967765304,0.317013930267532
"274",0.780553418260041,0.613303520668496,0.148417242902865,0.227315717892302
"275",0.597971182093849,0.385650869117174,0.157667002915849,0.290538060287579
"276",0.510803951528884,0.445263457185568,0.13237087670082,0.263201753581486
"277",0.512144093186061,0.413897056867012,0.136018879039058,0.273870721316872
"278",0.610530861465222,0.401457488720286,0.144508809207112,0.238641569390275
"279",0.605002132761582,0.43757225186782,0.12080592871746,0.208573932043749
"280",0.569744596749314,0.498007436908163,0.143442761496364,0.242304588551133
"281",0.615779414318706,0.455885640578219,0.166465651304693,0.228056492432503
"282",0.617320337077065,0.630805255263658,0.124480475426143,0.206094082922697
"283",0.620654529955819,0.411599127047269,0.184831362518771,0.253206740413536
"284",0.734419755810073,0.573069456994348,0.117024915968941,0.262776567076434
"285",0.768503639126505,0.516054804534352,0.161863616426516,0.229708295162729
"286",0.551904734755581,0.575072456669476,0.149273539446985,0.259515081445263
"287",0.664196221193199,0.452034594861989,0.122923236658892,0.267929888380792
"288",0.594286716332489,0.39050099153947,0.122406944287773,0.192023367521527
"289",0.566008236564525,0.53892331286335,0.121716024527375,0.27038355618194
"290",0.58432985434534,0.513223048817438,0.15538305966547,0.208046059738913
"291",0.748194964359553,0.498230834453919,0.129746846364096,0.253704620703149
"292",0.713998119533704,0.522694255506812,0.123730836931302,0.201147256161225
"293",0.708576889212983,0.507944461252393,0.178137923935647,0.242065089385137
"294",0.555292027624741,0.542304619104458,0.232115082900694,0.226107240380232
"295",0.782232185549342,0.471803077112029,0.118923536608311,0.287433703678042
"296",0.6298902663741,0.527395284930353,0.119882915191952,0.20137279655808
"297",0.687910180232479,0.603306094165089,0.171624926255103,0.260622712411478
"298",0.706629162659344,0.503644861511281,0.166463516333436,0.26867282316784
