"","kappa_out[1]","kappa_out[2]","kappa_out[3]","kappa_out[4]"
"29",4.32064814398812,6.29032607353577,0.914625317037706,3.6061902533168
"30",3.95906624367522,5.6815531558404,1.10078721003203,3.81254538976531
"31",4.99990470090649,6.44362583310562,0.869932619400541,2.60594485221224
"32",4.5386908291677,6.0516061724846,1.05996760011583,3.82535069214497
"33",4.58486569000942,5.89188948906708,0.692131972008798,2.56958465859733
"34",4.25737264704973,5.83982481505216,1.16080899749137,3.28713199705369
"35",5.46892565529914,5.82532073982689,0.802728377815749,2.66413603132199
"36",4.8421163667641,5.58465308026271,1.31872893971201,3.44122919820636
"37",4.18805778302217,6.43601673437536,1.15376611978311,3.12459183581636
"38",4.70171992914249,6.73660508662134,0.976672730904475,3.31968417943261
"39",5.33113354561961,6.20613688902287,0.957345420573739,3.46005099482398
"40",4.48639918777611,6.12264049122822,0.813487269191008,3.38729741351048
"41",4.46225056066861,5.91119537326228,1.15860246615246,3.15830725783087
"42",4.2286170553926,5.85716599163693,0.94224481200915,3.08702435094568
"43",4.39329609889834,5.91835393836036,1.00893992106512,3.27571551920486
"44",5.42119362009021,6.59260583433763,0.910119567621906,3.11365962785496
"45",3.61196796302848,5.62366564268939,1.04427085432983,2.60390662807913
"46",4.81263097939687,5.22017203620258,0.787154560540149,2.98094575653127
"47",4.23361962160557,5.15979734768758,0.843998272133145,2.93216432146488
"48",4.43688336404146,6.3292632137446,1.03926352603997,2.89715531925336
"49",4.75551514649668,6.04444264762545,1.00307795892116,3.20554764831699
"50",4.64934029464269,6.75350747279585,1.14107004638207,3.70670531221737
"51",4.54953237751791,6.06469342648278,1.22519601731799,3.11943769202562
"52",3.81698095778253,5.48397612396474,0.825025610329833,2.84956953867398
"53",4.21517807179191,5.19951595275874,1.34360101544507,3.03404181734892
"54",5.05325382680554,6.23599712908323,0.565361748428828,3.00324870921149
"55",3.87635392768653,5.16284167270116,1.43879049974551,2.37656268618559
"56",3.34909585353899,5.26292398366466,1.01970923397576,2.55098805949165
"57",4.40411133429069,6.13515378321783,0.726999240727893,3.01969579815195
"58",4.40048360678096,5.72559789066846,0.805807898005954,3.37394540510735
"59",3.98545571923091,6.0542378715245,1.57034291010855,2.9168456761744
"60",4.25606988378905,5.83830710166241,1.28215839951182,3.07389648553665
"61",4.93843485185052,7.06172663968602,1.45121237277856,3.03609841304011
"62",4.88602603747104,5.96710980819703,0.964682167896393,2.88612789915742
"63",3.43952315934248,6.0253184679781,0.914246279744815,2.69302056737508
"64",5.36045479176133,5.75945710256094,1.18699667809031,3.08600995302315
"65",4.7887103363555,7.17714416773608,1.59114027981228,3.24189393858272
"66",5.19884729605242,6.61662934184345,1.48113935264241,2.98230804666448
"67",4.45748469269188,5.40580967217522,0.845298194577426,3.43037211865643
"68",4.32923194886196,5.96285072212921,1.08994719977129,2.70321075155449
"69",4.40468637130119,6.02547481399766,0.874962083499014,2.73444248107616
"70",3.76079094093552,4.83326589617237,1.30763483048532,2.96947459239073
"71",4.0090353272899,5.91648940069315,0.742490417053438,2.59205488021654
"72",4.48934581319428,6.03178689963041,1.35072676578392,2.71360253005942
"73",4.65057755725823,5.70412961719543,1.00717027997548,2.67973752182394
"74",4.24196980319794,6.38545905524027,0.93757960942542,2.93298847395095
"75",5.19119700664291,5.71442341618151,0.83181655204574,2.71805972436431
"76",4.12454313240335,6.22475624569229,1.14647028424865,3.22961594680458
"77",4.42903782453883,6.50009928633789,1.18402806031253,2.92105896418465
"78",5.17710289643319,6.4259124814629,1.02893391017013,3.29575961783812
"79",5.17897775915515,5.39110691915823,0.670793882370693,3.11280311694574
"80",5.60625624662826,6.10000585966736,0.92581132764498,3.56078944266853
"81",4.54948963112211,5.86715355066522,0.971402539007723,3.17631624560576
"82",5.02608454938736,6.00603115673728,1.2263051000542,3.34020259755336
"83",4.15032529012672,6.45622904487272,0.699924390456461,3.02975081556972
"84",4.04263031331478,5.50013434232334,0.696233007441434,2.87164561494619
"85",3.70236781174342,5.82074456530952,1.17330585955246,2.54679378594137
"86",4.48736330859307,5.56790239269048,0.798358322803604,3.56976752020701
"87",5.20688371385837,6.04787963570319,0.991639022509662,3.04233365746438
"88",5.01422735045017,6.93251715178438,1.2606453153702,2.6449572998575
"89",4.19883728084357,6.80985222477763,1.55064065608423,3.41383931848117
"90",4.65047944749157,5.81674382863752,1.40137494522096,3.20803850576732
"91",4.96989881381401,6.10598507196316,1.02242967545174,2.99209996052407
"92",4.10020883845898,6.09531956817973,1.02294969304593,2.88996969611871
"93",4.11417628154891,6.02683595436558,1.01288103553001,2.83092522183336
"94",4.27426427332743,5.49085919861569,0.848407011746147,2.83648280796227
"95",3.7794006111354,5.70314043022891,0.871855714950709,2.66556243828903
"96",4.36284141340042,5.511776319144,1.08095496324858,2.91258394184418
"97",4.81068717810001,6.66268737845691,1.05904719661935,3.77310814293425
"98",4.95761840414325,6.11757288275191,0.954460757262906,3.06077434536841
"99",4.59078101940962,6.05969904544365,0.882798311412473,3.52608989946556
"100",5.14897850993813,6.79693777885368,1.24065889842657,3.13700133111183
"101",4.32962369464712,6.00145060881247,0.68651308894767,2.91936908211434
"102",4.34183780127159,5.07272323946618,0.854170400700076,3.00613069186038
"103",4.76377817959628,6.28334282047966,0.680065916705592,2.97491945903416
"104",4.62801798430558,5.46361242318968,1.24519543733409,2.50011503931179
"105",4.43455870846662,6.25143277710059,0.963510115569108,3.29477180064206
"106",5.07401286947843,5.64719069353699,1.29817325862437,2.82264827360888
"107",4.83704020405798,5.99689040498301,0.967164090859804,2.92215043832094
"108",5.74187418482279,6.25483172571758,1.17502934020611,2.87952230210542
"109",3.84743399223665,6.19075491886706,0.982397879431477,3.45410128002777
"110",4.43344565722926,6.0833721840249,0.937786336109327,3.69645591173316
"111",4.20882737515234,5.07076877543923,0.854273067144653,3.1318764152138
"112",4.78894926175944,6.94959648077573,1.19184694417478,3.58916186755325
"113",5.19696934562662,6.16046384803573,1.15352834054814,3.72933674991516
"114",4.69895017149864,5.92590370083011,0.959967537271155,3.30488648466577
"115",4.1952019373791,5.10733129395423,1.03796697927359,3.5603026095628
"116",4.94055293408578,6.22625618842549,0.931279892101957,2.45996389518482
"117",5.06965792207909,5.31778349707014,0.959045097478961,2.61180312186996
"118",4.95061774548523,5.62275984245046,1.14170374719503,2.48451402602234
