"beta_out[1]","beta_out[2]","beta_out[3]","beta_out[4]"
0.597131547149408,0.509401324632226,0.119086759894341,0.251191960604449
0.509597460020308,0.491938716421681,0.111415799690208,0.229552064661233
0.62139399071002,0.594310860093206,0.132840237879242,0.253689875538732
0.608729155609758,0.590083278740416,0.15645589167247,0.268032568313411
0.617329227558111,0.471517417602076,0.106858909350024,0.190552163307926
0.691599753572644,0.542553666082122,0.143888689306721,0.259105287436237
0.678000305860718,0.557344078842654,0.131022200554994,0.251698715410268
0.591072980495105,0.54242402007281,0.141142922575958,0.249910926039926
0.583087247012504,0.550851952617048,0.142623866680244,0.22085846410497
0.646750817309589,0.542471796096221,0.124700012443414,0.260426509277251
0.586575598581377,0.509509340653483,0.133527186533173,0.29489752136321
0.73256194935988,0.458120681028886,0.177778570606133,0.239306913002914
0.636677639738364,0.539557940537126,0.171159259911451,0.270150762207023
0.768878099172076,0.538149515205113,0.172201213048162,0.31730666190345
0.742555966697437,0.628897502169341,0.183318560843029,0.207747529824743
0.625350151797888,0.639518500070008,0.193336740303786,0.199514507844358
0.700754984256812,0.559805705286685,0.135278354397458,0.249262390519063
0.614219305897324,0.533977219721943,0.161545325937457,0.245321706424646
0.64375391384714,0.508612489631198,0.170417446332118,0.226212777050837
0.72360070423828,0.625781149796717,0.115922568858705,0.276549062407795
0.633588355726506,0.486194019577515,0.14763917272877,0.298222830720508
0.608906824446806,0.595880333655315,0.133499655816828,0.222464461952823
0.529477220767252,0.563366612339794,0.0985833652746068,0.239528165675382
0.58008281602072,0.532117910451095,0.12107193806663,0.245156495632387
0.637749884345828,0.553118530182238,0.130964982035658,0.230511091754843
0.594126264627537,0.612963342412913,0.131670793086733,0.230047835716027
0.550398298677806,0.613638548374057,0.123814435661291,0.21798456773282
0.528536503388568,0.633105715068335,0.121905818092012,0.231556796991744
0.549829751207849,0.603125098438107,0.130952606097314,0.220751909317973
0.63880257659854,0.523508935931781,0.0968761625498999,0.211114685711766
