"","x"
"231",8.56307237938891
"232",8.455649667042
"233",8.38935012123824
"234",8.14130096929067
"235",8.14130096929067
"236",8.58527315200746
"237",8.31165296504281
"238",8.21426735594708
"239",7.82017860000107
"240",8.24488707043499
"241",8.40319536846065
"242",8.52194163837544
"243",8.2741619641785
"244",8.33248408477234
"245",8.25126682203287
"246",7.79708721201314
"247",7.8943558686941
"248",7.6769126621651
"249",8.05840719694205
"250",7.88496329091983
"251",8.46332871124953
"252",8.3573739053038
"253",8.61630374294073
"254",8.2848074146404
"255",8.63966472353967
"256",8.22579884342003
"257",8.30607203398877
"258",7.96581582998106
"259",7.91043814425913
"260",8.33655608252095
"261",8.04043359834287
"262",8.37427777594888
"263",8.35397623770488
"264",7.93573401549758
"265",7.88774367015395
"266",8.16642310207058
"267",8.8797999723997
"268",8.56477927858037
"269",8.21183352387774
"270",7.87236906620191
"271",8.32183535550206
"272",8.4414220505864
"273",8.74248554396475
"274",8.4157804027661
"275",8.8446602206312
"276",8.50849327354453
"277",8.74920345433231
"278",8.35375137506588
"279",8.40218126998822
"280",8.34900887966222
"281",8.24421154373881
"282",8.2584331808529
"283",8.20393089992509
"284",8.28838017972095
"285",8.04806003759397
"286",8.20542540080711
"287",7.5980547552977
"288",8.27829481683528
"289",8.42464465731618
"290",8.27035214372447
"291",7.69160063304365
"292",8.76103206082896
"293",8.78490899208388
"294",9.25531894450701
"295",8.50338335010696
"296",8.4906702295956
"297",8.45798914116668
"298",8.29078773900837
"299",8.52967814129814
"300",8.14831927414705
"301",8.34894831390535
"302",7.98324646669618
"303",8.84756586548789
"304",7.79520119797457
"305",8.36527411606793
"306",8.07886540245057
"307",8.08519638418213
"308",8.24736197442057
"309",8.32160414749664
"310",8.03323286397801
"311",8.17832914789844
"312",8.13973981040236
"313",8.4983746995971
"314",8.50527335005198
"315",8.1093683053518
"316",7.58375156394781
"317",8.6721678400142
"318",8.19349271002986
"319",8.43767594290785
"320",8.11594586029966
"321",8.49464159319751
"322",8.2686122176089
"323",8.10417396537034
"324",8.38121536177918
"325",8.42396074347666
"326",7.98578998325736
"327",8.32016999285099
"328",8.17781221066298
"329",8.25170314539539
"330",8.20566621866697
"331",8.45580730473255
"332",7.9923491806671
"333",8.46173331324636
"334",7.94410065746012
"335",8.14002007319205
"336",8.34790355644766
"337",8.04824275228791
"338",8.57875627442494
"339",8.44430411667954
"340",8.66627994510762
"341",8.39726583878179
"342",8.62907426904181
"343",8.75915441313088
"344",8.16963842902555
"345",8.41871389121141
"346",8.63842422639787
"347",7.94128845742079
"348",7.9506784072348
"349",8.04033377279987
"350",8.02115654927108
"351",8.32135762131428
"352",8.30548367644997
"353",8.18059124793278
"354",7.99461674214955
"355",7.8635183405022
"356",8.34253991241932
"357",8.31365666422119
"358",8.04704775330717
"359",8.29169927540619
"360",8.22572198716596
"361",8.32709505292622
"362",8.22321096043118
"363",8.53351654098243
"364",8.18433718012454
"365",8.38312681657815
"366",8.11249279998891
"367",8.46390701349545
"368",8.19269620619775
"369",8.30062067165709
"370",8.25226044794519
"371",8.34179048214112
"372",8.4835338912248
"373",8.18069768520352
"374",8.17323128367128
"375",8.16853421238268
"376",8.07442065252354
"377",8.90545812969481
"378",8.04649573120522
"379",8.54933311991869
"380",7.96194786687707
"381",8.19703127303341
"382",7.97675910355344
"383",8.47109496096776
"384",8.1676340171332
"385",7.95978870161826
"386",7.74134926216752
"387",8.73647916134353
"388",8.67529934804339
"389",8.84242422656719
"390",8.34752466372438
"391",8.02403258692256
"392",8.68671685967719
"393",8.30612394382026
"394",8.17011942118956
"395",7.9773519975052
"396",7.84770851821675
"397",7.9797318965741
"398",7.96218876314537
"399",8.45024098839884
"400",8.39022232399026
"401",8.02580423685134
"402",8.30427329580068
"403",8.14163935281357
"404",8.25532458640572
"405",8.61375372603627
"406",8.24049801552589
"407",8.36226900152982
"408",8.35977709609914
"409",8.52330268271865
"410",8.45461896107087
"411",8.62167572012649
"412",8.51587685668931
"413",8.4855762563853
"414",8.62177779529338
"415",8.59928499547198
"416",8.65396707756224
"417",7.90528883752664
"418",8.42955346461424
"419",8.72863886345317
"420",8.48052007960282
"421",8.55153772262764
"422",8.52376018882564
"423",7.85822161314746
"424",8.47046920891863
"425",8.3754915739966
"426",8.42764045839531
"427",7.815149520679
"428",7.98865768061155
"429",8.27850786475706
"430",8.38185749434839
"431",7.85997314598473
"432",8.01074493922389
"433",8.45324134071108
"434",8.34392796443277
"435",8.18853872554484
"436",8.41329955795562
"437",8.31712499751062
"438",8.03525851657418
"439",8.38734452698959
"440",8.64573476392377
"441",8.0793698091682
"442",8.2120392097189
"443",7.99845267381043
"444",8.79314572048687
"445",7.82077833446216
"446",9.28244196406242
"447",8.95259958892643
"448",8.5087506798104
"449",8.45151929882907
"450",8.49477800666449
"451",8.53090267319387
"452",7.710831325545
"453",8.2670900972937
"454",7.92839656071547
"455",8.05354682289763
"456",7.99913228538793
"457",8.40088145368843
"458",8.13377068739188
"459",8.23546354585332
"460",8.32903105789724
"461",7.9973393037436
"462",8.69854840784113
"463",8.81069775335304
"464",8.20898794807921
"465",8.80057040373627
"466",8.25617555864013
"467",8.54203266300099
"468",8.44412287034925
"469",8.44761776483104
"470",7.84244703077893
"471",8.39180382522744
"472",8.16764882276599
"473",8.50148282753842
"474",7.73820141777664
"475",8.03268820957341
"476",8.32049769960173
"477",7.79809031067547
"478",8.0340224295284
"479",7.89969604049415
"480",8.02192007074101
"481",8.09319768126383
"482",8.15901546536412
"483",7.94156699461193
"484",8.57382652298178
"485",8.36892767016195
"486",8.1435002857991
"487",8.66999977868917
"488",8.31592690745508
"489",8.3263739302521
"490",8.27308335383466
"491",8.39080807139766
"492",8.36141980065644
"493",8.47783684160655
"494",7.84801564049758
"495",8.37031607710325
"496",8.23669770231117
"497",8.13898769292821
"498",8.16563295978423
"499",8.47144365992586
"500",8.30243674116783
"501",8.2858634057095
"502",8.36996345154472
"503",8.17394268911915
"504",8.46526580577701
"505",8.56400767559264
"506",7.91990125014958
"507",8.21719974783845
"508",8.73019940033659
"509",8.21896420574548
"510",8.70908780067834
"511",8.0600500812598
"512",8.07441322459422
"513",8.15804273944566
"514",7.94154061319316
"515",8.83256477350448
"516",8.7963995524933
"517",8.91748992292636
"518",8.51459540231675
"519",8.4467341797767
"520",7.96471564799873
"521",8.50114875191901
"522",7.97105930141589
"523",8.27398450135936
"524",8.26259888150608
"525",8.59617596502459
"526",7.37927440606337
"527",8.2069852617041
"528",7.72499759123156
"529",8.50343398394923
"530",8.30791453344434
"531",8.48422265696079
"532",8.49086129194423
"533",8.81184116921023
"534",7.78535253685869
"535",8.24426314270945
"536",8.00383228654879
"537",8.56109180388718
"538",8.28332718803709
"539",8.35784620222393
"540",8.32500826095232
"541",8.41100759214229
"542",8.38072323875733
"543",8.38419432269638
"544",8.21444745037041
"545",8.0642348980052
"546",8.08744942315931
"547",8.01766033610148
